query_id,range_lo,range_hi,actual_selectivity,subset_size,k_used,true_correlation,abs_true_correlation,heuristic_correlation,abs_heuristic_correlation,tanh_correlation,abs_tanh_correlation,pgap_correlation,abs_pgap_correlation,js_divergence,lift,p_c,p_g,expected_random_gk,admissible_gk,expected_random_gk_stderr,monte_carlo_samples
9092,724,825,0.101786,101786,100,-0.012341608658572612,0.012341608658572612,0.07518467986225706,0.07518467986225706,0.0017549339147193623,0.0017549339147193623,0.00019509793993709808,0.00019509793993709808,0.07518467986225706,0.023345882925094562,0.11245341614906834,0.10985850000000008,361.9406929016113,366.4076232910156,0.3190994282488518,32
9093,807,907,0.10045,100450,100,-0.004607158596577421,0.004607158596577421,0.07381329833181914,0.07381329833181914,0.0010412890862232119,0.0010412890862232119,0.00011514782635920033,0.00011514782635920033,0.07381329833181914,0.014108002127217896,0.11135648754914818,0.10979649999999996,250.92952966690063,252.08560180664062,0.27991559456680637,32
9094,511,611,0.10111,101110,100,-0.002944858964938064,0.002944858964938064,-0.07109789024294196,0.07109789024294196,-0.0012377063775568721,0.0012377063775568721,-0.0001350695175601823,0.0001350695175601823,0.07109789024294196,-0.017410241389874178,0.10817073170731717,0.11007049999999996,286.53537464141846,287.3791809082031,0.29645060776485066,32
9095,239,339,0.10111,101110,100,-0.003888978554728657,0.003888978554728657,-0.06382406959506474,0.06382406959506474,-0.0021909287935360146,0.0021909287935360146,-0.00023688130507852617,0.00023688130507852617,0.06382406959506474,-0.03434111931370397,0.10623152709359604,0.10994300000000004,313.7404718399048,314.9606018066406,0.1832392963204118,32
9096,161,261,0.101139,101139,100,-0.005237366930960482,0.005237366930960482,0.07561060521440689,0.07561060521440689,0.0021890911473037887,0.0021890911473037887,0.000244395714466257,0.000244395714466257,0.07561060521440689,0.028960264258380726,0.11323529411764705,0.11000300000000005,303.83242416381836,305.4237060546875,0.2926077632366007,32
9097,662,762,0.10069,100690,100,0.007718847528203294,0.007718847528203294,0.0650725817393771,0.0650725817393771,0.006311232950700526,0.006311232950700526,0.0007303789565322317,0.0007303789565322317,0.0650725817393771,0.09729342669771032,0.12106606606606585,0.1098420000000001,298.87241077423096,296.5654602050781,0.32613914924862863,32
9098,489,589,0.101197,101197,100,0.01204425869804926,0.01204425869804926,0.06613337622643967,0.06613337622643967,0.000381124404157327,0.000381124404157327,4.208130706896929e-05,4.208130706896929e-05,0.06613337622643967,0.005763029883873939,0.11073080967402715,0.11009449999999987,256.6609163284302,253.5696258544922,0.37571020375412195,32
9099,19,119,0.101333,101333,100,-0.006591939206193608,0.006591939206193608,0.0538489226661615,0.0538489226661615,0.0006949620874528415,0.0006949620874528415,7.701550596523021e-05,7.701550596523021e-05,0.0538489226661615,0.01290649173593954,0.11153021442495129,0.1101,247.354106426239,248.98464965820312,0.2612754449306129,32
9100,243,343,0.101008,101008,100,-0.004346115680200362,0.004346115680200362,-0.06232391891635115,0.06232391891635115,-0.0018866284874748556,0.0018866284874748556,-0.00020452564718698667,0.00020452564718698667,0.06232391891635115,-0.030280590670630856,0.10674234424498419,0.11002400000000007,252.2442021369934,253.34048461914062,0.3481765015090503,32
9101,512,612,0.101058,101058,100,0.0029209297671580472,0.0029209297671580472,0.06635965466921838,0.06635965466921838,0.0032336444904297787,0.0032336444904297787,0.00036503972036004153,0.00036503972036004153,0.06635965466921838,0.04876769798194422,0.1155714285714286,0.11007049999999996,283.411657333374,282.5838317871094,0.236845303417132,32
